Gene	BH1	BH2	BH3	BPH1	BPH2	BPH3	BPH4	BPH5	BPH6	HH1	HH2	HH3	HPH1	HPH2	HPH3	HPH4	HPH5	HPH6	SMH1	SMH2	SMH3	SMPH1	SMPH2	SMPH3	SMPH4	SMPH5	SMPH6
RTN4RL2	39.12564658	27.34424503	82.81789617	20.03499798	27.22320486	91.4237498	38.82367272	11.90076639	62.56802198	4.957570458	4.190044173	3.098802667	2.106508518	1.060850544	4.440942416	2.189801002	1.511478956	1.760185534	3.637600479	3.351948035	2.316120403	4.658932207	3.057550313	6.912380345	2.637242649	2.994789479	1.998190392
SLC43A1	12.16544678	5.122536669	8.878481057	5.921274706	8.37384468	4.092073844	3.037101636	2.83180887	3.590801478	92.29093287	75.28847793	75.10907416	12.30392475	17.2879348	12.87873301	15.73199141	4.708838286	16.88939929	57.30025533	100.1028365	49.56497662	19.1884835	26.66183873	25.3720319	29.08192237	15.76567335	27.01900922
TIMM10	6.749860794	5.447204486	5.032337441	5.596821298	6.666237138	7.604437227	7.537866711	7.133290698	6.808972613	21.08219356	22.97908436	16.13344881	12.97417746	19.84183426	17.40849427	21.43699928	23.95112807	19.6973143	13.68124074	17.15025839	17.21649499	14.33213891	22.95201101	20.69718508	13.43909953	12.94299821	11.20724177
SMTNL1	0.156973507	1.190448662	0.215671605	0.648906817	0.164193033	0.375106769	0.329324274	0.143382728	0.067750971	0.050076469	0.176422913	0	0.047875194	0	0.266456545	0.172879026	0	0	488.2110519	559.4824332	179.9625553	426.4107444	492.224833	591.2682332	236.087407	612.8647344	760.3838425
SERPING1	1.412761562	6.529430542	0.071890535	19.1427511	8.275328861	9.34356861	16.75894638	10.61032184	5.182949303	9.264146815	8.02724252	13.18220817	39.92791145	33.12211144	32.64092676	33.30802576	13.42890919	26.69614726	1.255455033	1.724788795	1.196662208	3.55342287	4.362105113	4.874626602	6.322157036	3.545555361	3.185520915
YPEL4	59.8069061	72.58129421	52.08469251	91.0091811	106.0358607	92.9923781	74.72001857	101.8375823	72.15478441	22.78479352	21.03843232	37.67750544	51.32220752	39.60508699	40.36816656	40.10793414	49.53000271	33.61116186	169.2932825	322.8609365	266.2380403	21.47846713	33.75535545	31.16564549	10.83798349	22.13390385	24.52851105
CLP1	14.44156263	20.59836928	11.28681397	15.9387737	16.38646469	15.7544843	16.79553796	20.7904955	16.93774282	4.707188112	7.277445142	5.01710908	14.12318211	11.23715762	16.43148694	16.82689191	17.03320516	14.50057606	4.152658954	6.801525625	5.906107027	6.159266308	8.561140876	9.629385336	11.23537622	11.01531763	9.006336407
ZDHHC5	101.4048854	112.8761777	108.7703793	38.44772891	38.48684692	42.62576921	41.56804167	40.68484896	41.56522088	96.84789157	91.43117442	75.79769698	26.47498205	23.73161959	32.15242309	31.34873013	22.84658576	29.4621531	77.67725625	68.30814491	56.08871575	11.48940061	20.5467381	21.09674464	19.14710417	18.00315974	20.15565961
MED19	25.11576109	17.31561691	27.74974646	15.0870835	16.51781911	17.80052122	22.72337489	21.61494619	20.63017075	12.61927026	13.71688145	12.64114739	13.26142862	14.10538316	16.74235291	19.65058267	16.74253613	17.72758287	11.87853608	12.69184207	11.31038797	4.816862113	7.990398151	8.230926885	9.140032744	11.39396917	11.26516033
TMX2	116.9060192	112.8761777	107.2966233	118.1821541	122.6521956	107.1782341	126.6068875	119.903806	99.42455035	58.63954552	62.01265376	62.51711412	85.55297093	112.1358316	98.41128394	117.2696063	127.952507	108.419047	87.52774958	89.98190599	82.02926426	82.83423535	100.4914869	90.54019573	81.89902858	75.62704007	80.62263844
C11ORF31	17.34557251	21.0312597	21.42337939	7.259645016	12.05176862	8.83205938	11.45316641	6.703142516	20.18978944	7.912082145	9.173991452	6.886228149	2.872511615	3.49687772	3.153069115	2.13217466	3.371760748	3.143188453	4.217041263	5.467255047	3.860200671	1.223956766	1.997599538	1.87792992	0.758658844	0.894994557	0.897737713
CTNND1	56.86365285	64.60889559	45.79427071	84.47955625	60.75142219	56.67522274	110.5431812	73.37611085	51.82949303	348.9829144	253.9166769	263.7425381	264.3189438	226.9041442	243.0527784	394.1641803	241.3134287	236.4096808	29.51928884	38.40095807	22.38916389	18.75417626	25.1126799	25.25216403	37.02977693	47.60682586	39.7321336
ZFP91	226.9052041	244.5109404	185.3337989	151.6414118	165.2110298	152.2933482	201.6562303	175.1061561	164.7026112	195.6487654	152.4735022	134.3306362	80.28669964	73.78804898	88.46357293	121.0153185	97.31599124	126.6914492	97.02414021	103.6500436	55.47108364	33.04683269	71.95435069	76.23596357	55.38209564	78.62182955	96.72399871
CNTF	13.22501795	16.37768766	11.86193825	3.933997579	1.477737297	1.364024615	2.341861503	1.756438413	0.508132285	7.110858637	14.95184184	8.952096593	0.718127904	1.060850544	1.59873927	0.979647817	0.29066903	1.34109374	2.639674684	1.69224561	0.887846154	1.302921719	0.774579413	1.31854654	0.180633058	0.172114338	0.28959281
MPEG1	3.296443644	1.154374461	2.336442383	4.136780959	4.498889103	2.762149845	2.158903573	2.401660687	1.761525253	9.514529162	1.808334854	6.14841799	6.989778263	12.21942664	10.3029864	12.8506743	4.36003545	7.292197211	0.869161176	0.423061402	0.926448161	1.066026861	0.856114088	0.839075071	0.939291903	2.925943744	0.781900588
DTX4	70.48110457	107.7175668	32.35074069	57.75270672	50.50577693	48.79798059	57.85129743	56.38525763	31.91070747	12.36888791	24.12583329	9.001283937	14.02743172	4.989926635	14.6995194	7.721929849	3.546162166	6.118740188	3.637600479	3.970268546	1.582682275	3.356010488	2.853713625	5.713701672	1.661824135	2.237486393	1.013574837
OSBP	138.6860933	131.7429853	148.1663924	76.04376763	85.61024738	80.88665965	79.73306584	77.31913586	71.91765601	185.1827834	159.3981015	138.0688744	131.0344048	152.998223	143.9753531	143.1438339	134.5797609	134.9894668	131.533058	129.2940732	100.9442475	55.19650192	116.7576546	97.21284034	86.6316147	86.16043755	108.3656297
PATL1	123.8913403	162.9471699	118.4037109	72.67756352	91.58687378	60.8013972	63.77913436	72.22904903	67.10733705	247.9786758	256.0778575	182.6817953	94.40988175	77.79570659	90.90609125	68.92110522	78.94570855	68.85678171	49.38123128	62.19002616	39.41264885	37.54783499	52.75293473	48.06701477	40.85919776	56.93542298	55.34118609
